cond,cond_dur,Motivation,Direction,FreeText,PLEX_count,Captivation,Challenge,Competition,Completion,Discovery,Progression,Exploration,Fantasy,Humor,Nurture,Relaxation,Sensation,test_score_adjusted,test_dur,test_ffe_total
Exp,5.8571,6,5,I found the presentation of the stimulus quite complex t first but was able to adjust to it rather quickly. My strategy was to look into the trait that needed changing and then figure out which other trait would best lead me to do this,7,1,1,1,0,0,0,1,1,1,0,1,0,39.903846153846146,17.359050000000003,47.14755764611593
Ctr,1.0159666666666667,6,6,"I had a few strategies like increasing education, socialization and excercise, etc as interventions. At times, I felt a bit confused so I wasn't achieve somethings like reducing neuroticism. I found the effect of reducing coffee intake on insomnia memorable. I don't really have any opinions regarding the presentation.",6,1,0,0,1,0,0,1,1,1,0,1,0,21.874999999999993,18.116066666666665,24.06431881342386
Exp,0.28025,4,5,"At first I found it difficult to understand, but I developed a strategy pretty quickly.",5,0,1,1,0,0,0,1,1,1,0,0,0,27.884615384615373,19.779016666666667,26.59399617666231
Ctr,0.246,5,6,"slightly confessing, didn't fully understand how to reduce certain experiences. overall good layout and easy to manage.",3,0,1,0,0,0,0,1,1,0,0,0,0,30.28846153846153,10.685933333333335,32.0811149919275
Exp,6.554783333333333,5,6,Some of the questions would appear multiple times which improved how well I memorised the answers,5,1,1,1,0,0,0,1,1,0,0,0,0,51.92307692307692,20.53495,72.85786343256024
Ctr,0.22416666666666665,5,5,i liked the little arrows- i was pretty motivated to make changes and i enjoyed it. I dont think i really learned anything that wasnt common sense though,4,1,0,0,0,0,0,0,1,1,0,1,0,51.92307692307692,9.7362,51.23957598451426
Ctr,0.21821666666666667,5,5,very visually stimulating which made it more exciting to interact with. It was interesting and to some extent satisfying to see the kind of wide-spread effect that one intervention could have.,2,0,1,0,0,0,0,0,0,1,0,0,0,45.91346153846153,31.889599999999998,32.45654165904869
Exp,2.365533333333333,5,5,i had not a clue what was going on i am not going to lie to you,6,1,0,0,1,0,0,1,1,1,0,1,0,27.884615384615373,9.421466666666667,27.216307665919754
Exp,16.258733333333332,4,3,I did not really enjoy the software because I do not think it was clear enough about how to win. This may of been because I did not have strategy though.,2,0,0,0,0,0,0,0,0,1,0,1,0,63.942307692307686,12.589583333333334,63.490253415477724
Ctr,2.7543833333333336,6,5,"I was mainly trying to induce positive effects. I would get frustrated if I was trying to do that and other factors on the task stopped that from happening. I think it was an interesting presentation and found it overall enjoyable, although it took a while to grasp and I did find it looked confusing at first",6,1,0,0,1,0,0,1,1,1,0,1,0,39.903846153846146,15.604566666666667,30.154071255722744
Exp,3.7097166666666666,5,5,I think it was a good game and I was motivated but found it difficult on a phone as couldn't really see the instructions which made knowing how to play it a bit difficult,2,0,1,0,0,0,0,0,0,0,0,1,0,56.730769230769226,17.782333333333334,38.42218869624374
Ctr,1.3137,6,7,I enjoyed using this software and found it very interactive. I tended to try and separate out certain factors and have a look at which factors were linked to lots of other factors. I think for some people they may find it overwhelming to look at as there is quite a lot going on within one diagram. Although for people who are visual learners it would definitely have a big effect. I think it was quite memorable seeing the effects of insomnia and sleep on your well-being and how all these factors link to one another.,3,1,0,0,0,0,0,1,0,1,0,0,0,21.874999999999993,23.57195,36.46643473097343
Exp,2.165416666666666,5,6,"It was captivating but also quite confusing to know what the goal is and how to achieve it. However, it was interesting to see what affected what in the game and it was quite fun. The instructions could have been clearer and the presentation as well because it was all overlapping so there was a lot going on.",7,1,1,1,1,0,0,1,1,1,0,0,0,44.71153846153846,22.174883333333334,68.65039751653757
Exp,13.753633333333333,5,4,"It was strange considering the interventions for each goal didn't always make much sense. The first time I played the game it crashed/stopped working so I lost all my progress which was irritating. I liked the level up part, it made me motivated to keep going and progress through the levels. The actual presentation of the game was well-made and exciting, I can see how it would be an enticing method of learning",7,0,1,1,1,0,0,1,1,1,0,1,0,45.91346153846153,19.142699999999998,72.13282216536656
Exp,24.95125,4,6,I feel like the pulsating icons/arrows distracted me when trying to work out the interventions. I did not have a strategy.,4,0,1,0,0,0,0,1,1,1,0,0,0,45.91346153846153,41.07576666666667,60.39050358731264
Exp,9.2593,6,7,"I had no strategy, just look to see which arrows were most prominent etc. It made the relationships between the factors a lot more memorable.",7,1,1,1,0,0,0,1,1,1,0,1,0,33.89423076923076,9.107783333333334,55.58872745003087
Ctr,0.17648333333333335,6,6,The presentation was easy to interact with and interesting to work around,2,0,0,0,0,0,0,1,0,1,0,0,0,51.92307692307692,12.12205,19.72017124109244
Ctr,12.52695,5,6,I started by getting to know the software and what each button would do and then I targeted interventions to improve wellbeing and increase it while lowering negative traits like depression. The software was unlike anything I have used before so it was memorable and fun to play around with it and I liked the fact that it was something new. I think it is memorable as I can still picture it in my head/visualise it.,3,1,0,0,0,0,0,1,0,1,0,0,0,39.903846153846146,14.721633333333333,65.96044263264837
Exp,21.21665,7,7,"It was interesting getting to grips with the simulation I quickly learnt how to reduce behaviour and it became easier to spot pathways to reduce patters. The presentation of the game was really interesting and I would definately play again, I especially liked the interaction with the computer that I was competing with something to make a positive effect.",8,1,1,1,1,0,0,1,1,1,0,1,0,39.903846153846146,17.103416666666664,28.62720896706537
Exp,20.716833333333334,6,6,I liked the sounds and animations,6,0,1,1,1,0,0,1,1,1,0,0,0,27.884615384615373,9.048066666666667,57.68011291919764
Ctr,0.26163333333333333,6,5,"At first I found the software confusng, however after getting the hang of it I started developing strategies to improve the overall health.",5,0,0,1,0,0,0,1,1,1,0,1,0,57.9326923076923,10.4983,20.97257552917617
Ctr,1.6366,3,3,I might've done something wrong because it got very confusing and that gave me anxiety.,4,1,1,0,0,0,0,1,0,1,0,0,0,63.942307692307686,19.37355,7.51695184367701
Exp,1.6272666666666666,7,7,I just tried to follow the links to see which one would have the bigger outcome and affect on the named factor,6,1,1,1,1,0,0,0,1,1,0,0,0,63.942307692307686,10.405716666666667,14.865909354641252
Ctr,0.6410166666666667,7,7,I quite like the way it was presented as you can see how a series of variables all interact with one another,3,1,0,0,0,0,0,0,1,1,0,0,0,39.903846153846146,13.487716666666667,19.524092478900997
Ctr,1.4676166666666668,6,6,"It went really faster after a while, but the pictures and diagram were really interactive",3,0,0,0,0,0,0,1,1,1,0,0,0,36.29807692307692,22.4824,79.35166062672248
Ctr,0.8716166666666666,4,1,"i did not have any sort of strategy when using the software, also i did not particularly find the effects very memorable",3,0,0,0,0,0,0,1,1,0,0,1,0,57.9326923076923,13.709566666666666,48.8955224447617
Exp,3.2826,5,6,"I found it slightly difficult to understand at the beginning.  I didn't particularly have a strategy, I just tended to choose the interventions linked by the arrows.  An effect i found memorable was the impact education had",5,0,0,1,0,0,0,1,1,1,0,1,0,45.91346153846153,16.809866666666668,69.87499490768018
Exp,22.393716666666666,4,2,"I found it quite frustrating because the computer kept winning by intervening with insomnia, depression, loneliness and worry even when I could not see an arrow connecting the goal to these factors, which made me very very frustrated",5,1,1,1,1,0,0,0,0,1,0,0,0,27.884615384615373,14.806133333333333,79.35166062672248
Exp,10.345083333333333,7,6,At first it was a bit hard to navigate since I felt like the game's design is not the clearest. I did get the hang of it after a couple of rounds and noticed myself trying different strategies. The effect's would have been memorable if the game's presentation was a bit more clear.,7,1,1,1,1,0,0,0,1,1,0,1,0,51.92307692307692,18.435866666666666,33.50987059205107
Exp,9.298033333333333,5,5,I would place the icons slightly further apart as it felt slightly cramped,7,1,1,1,1,0,0,1,0,1,0,1,0,63.942307692307686,21.681483333333336,11.552707435650316
Ctr,0.47195,3,4,"Whilst I was confused at first after I somewhat understood the point of the task and began moving things it became quite thought provoking. I had no particular strategy, just made sure to click on each icon and move it appropriately. The noise effect was very memorable and stood out to me the most. Good presentation, lots of colour used appropriately, however, it was confusing following all the arrows' placements.",4,0,0,0,1,0,0,1,0,1,0,1,0,51.92307692307692,26.231466666666666,12.433068071076866
Ctr,0.43998333333333334,6,6,I didn't have a strategy initially I just explored the different interventions and when I had more of an idea of how the software worked I reset it and started again this time trying to do the biggest interventions first. I think the effects were memorable at the beginning however they went very fast sometimes and were harder to follow. Overall I liked the presentation as I think it was good to learn visually rather than by reading.,5,1,0,0,0,0,0,1,1,1,0,1,0,57.9326923076923,19.416366666666665,43.34467251714958
Exp,8.699516666666666,6,6,"I was trying to figure out how to use the map to choose the best way to solve the issue. I thought the presentation of the software was done really well, very clean and nice to follow",4,0,1,0,0,0,0,1,0,1,0,1,0,32.692307692307686,9.705033333333335,14.08541914225999
Ctr,3.3699833333333333,6,6,"I think it was really engaging how I was able to click and hover over the different icons and see how one affects another. I think some of the effects, especially the effect of education on health conditions, is very memorable. I did not have a proper strategy but I tried to look for the things that were indicated at the beginning such as the effect of education and the correlation between BMI and heart diseases.",3,0,0,0,0,0,0,1,0,1,0,1,0,51.92307692307692,24.14315,69.27008755273522
Ctr,5.952783333333333,6,3,"At the beginning I didn't really know what to do, so it was fun to learn how everything worked on my own. I also started paying more attention to what I was choosing, and it made the whole game more challenging as there were many links between the traits.",5,1,1,0,0,0,0,0,1,1,0,1,0,57.9326923076923,27.570083333333333,67.37018068232787
Ctr,0.8714999999999999,6,5,"I found the software quite simple. It had no ending and I could leave it at any time, and this made me feel like the software didn't have an aim or achievement in the end.",5,1,0,0,0,0,0,1,1,1,0,1,0,33.89423076923076,25.5967,51.263202320979964
Exp,1.6903833333333333,7,7,I found that sometimes I tried to use the arrows to make my decision and then the computer came up with a more successful intervention that I could have come up with if I'd use common sense instead. So it successfully brings your attention to interventions that could be used in our lives.,2,0,0,0,1,0,0,0,0,1,0,0,0,33.89423076923076,19.923266666666667,27.555787617114476
Ctr,5.780783333333333,6,5,"I did not approach the software with a strategy. I noticed that increasing education would decrease exercise and increase eveningness, this was memorable for me as i found myself thinking back to times where i had stayed up to study or had forfeited exercise or walks to study. In my opinion, the presentation was a little bit messy as the arrows intersected a lot and caused confusion occasionally. However, i did like that hovering over the icons would show you which trait was directly linked to it. This provided some clarity as to which factors I was impacting.",4,0,0,0,1,0,0,1,1,1,0,0,0,39.903846153846146,27.868733333333335,43.54580274758269
Exp,31.48271666666667,2,5,I found it confusing what I could and coulnd't clicke and how some of them weren't linked to certain goals,8,1,1,1,1,0,0,1,1,1,0,1,0,33.89423076923076,9.032466666666666,29.787251098395
Ctr,0.6632333333333332,5,6,"At first I did not have a strategy and I was a bit confused about the software. I still feel like it's a bit hard to understand and difficult to achieve a specific goal. I find it very interesting how every thing affects and has an impact on a lot of other things, that I wasn't even aware of.",4,0,1,0,0,0,0,1,1,1,0,0,0,51.92307692307692,27.637700000000002,53.65036133307299
Exp,6.1234166666666665,5,5,"i learned a lot from playing the game.. i was especially surprised by things that i had no idea about such as ""insomnia lowers down heart disease"". i didn't really have a strategy and at first, i was confused on what i was supposed to do. but then i got the hang of it and i did pretty well. there were times that were abit frustrating when playing the game because computer beat me to it in some parts which made me feel dumb. but hey, i learn something new everyday. i also liked the design of the game software. the colours were bright and the display of the symbols/images were clear. overall, i had a fun playing the game",8,1,1,1,1,0,0,1,1,1,0,1,0,51.92307692307692,26.014466666666667,56.644856930401964
Exp,4.696183333333334,6,6,Tried to find the root cause but often found that the best solution was the one directly influencing. Education became my go to when selecting solutions most of the time. The presentation was fun and the soundtrack noise was soothing/ enjoyable,7,0,1,1,1,0,0,1,1,1,0,1,0,69.95192307692307,10.1815,29.514668275861112
Exp,4.760266666666666,5,6,I just mapped out the arrows and looked for the biggest effect,7,1,1,1,1,0,0,0,1,1,0,1,0,57.9326923076923,12.9076,17.923108351287034
Ctr,4.098333333333334,3,5,it was difficult to understand at first,5,0,1,0,0,0,0,1,1,1,0,1,0,45.91346153846153,12.917666666666666,43.16563104915943
Exp,1.2328333333333332,6,6,analysis of all the arrow colour and directions in relation to the specific task I had at each level,5,1,0,0,1,0,0,1,1,1,0,0,0,39.903846153846146,14.340900000000001,27.159621978429982
Ctr,1.6632500000000001,4,4,I thought it was a very good experience,4,1,0,0,0,0,0,1,0,1,0,1,0,27.884615384615373,17.248916666666666,72.47783569115262
Exp,23.43951666666667,6,7,"I liked the space theme and my task. However, it was hard to tell what I had just done. For example, I'd forget which trait I just intervened on and it was tricky to figure out why I was successful or not in the task. The icons would move and be highlighted which was confusing and often frustrating when I was trying to finish the task.",1,0,0,0,0,0,0,0,0,1,0,0,0,39.903846153846146,17.719316666666668,87.7331718465588
Exp,2.0286,3,6,I think some of the effects were memorable however I didn't really have a strategy,5,0,1,0,1,0,0,1,1,1,0,0,0,27.884615384615373,10.732149999999999,27.756004949507464
Exp,13.613833333333332,6,6,Some of the parts of the game I didn't fully understand but I did get it by the end.,7,1,1,0,1,0,0,1,1,1,0,1,0,45.91346153846153,11.12815,70.50413318901647
Ctr,4.246616666666666,4,4,I found it interesting but the presentation was slightly confusing and hard see individual components,3,0,0,0,1,0,0,1,0,1,0,0,0,57.9326923076923,17.247916666666665,62.12759578758228
Exp,7.6254333333333335,7,6,"I found the effects memorable, and it would be a good way to educate younger children. Initially I was not as confident with finding answers, but after the computer got it right a few times and I could see the response it became easier to work out what kind of thing I should be picking.",5,1,0,1,0,0,0,1,0,1,0,1,0,50.72115384615385,20.47495,36.972099494887324
Exp,5.5984,6,3,"Found it difficult, but it was memorable",5,0,1,0,0,0,0,1,1,1,0,1,0,27.884615384615373,11.472833333333334,27.356374342716236
Exp,15.519866666666667,4,4,"Was confusing, ended up doing trial and error for most of the game",4,1,0,1,1,0,0,0,0,1,0,0,0,15.865384615384606,13.418766666666667,20.844509874988333
Exp,22.3173,6,6,"It felt a bit simplistic and obvious what is expected of you. I also found it a bit visually confusing, not always being able to see what the arrows were pointing at. Having to watch the effects spread through the network after each intervention got a bit annoying.",6,1,0,1,0,0,0,1,1,1,0,1,0,57.9326923076923,17.833166666666667,41.40927641584502
Ctr,0.44925,6,6,I mainly focused on the aspects that most related to my life such as education to see if I follower the patterns of the health effects such as coffee and sleep which was really interesting,5,1,1,0,0,0,0,1,0,1,0,1,0,45.91346153846153,19.717716666666664,72.29430214813917
Exp,29.29478333333333,6,6,"Was interesting, harder than I thought",6,0,1,1,1,0,0,1,1,1,0,0,0,39.903846153846146,16.257316666666664,19.613793215024458
Ctr,14.529633333333333,7,6,I actually really enjoyed using the software as I found that I wasn only focusing on the task at hand and my mind was not overthinking or wandering as usual.,6,1,1,0,0,0,0,1,1,1,0,1,0,33.89423076923076,16.10715,63.437597521445085
Ctr,0.36661666666666665,7,7,"I intervened more with the negative traits which had thick arrows to other traits, as that showed that there was a stronger relationship between those two traits. I found it somewhat surprising in some occasions when i Intervened and the effect was so widespread amongst so many different traits/behaviours. I thought that the presentation was clear and effective. I enjoyed seeing all the domino effects that intervening with a singular trait created across multiple different traits.",5,1,0,0,0,0,0,1,1,1,0,1,0,57.9326923076923,17.50251666666667,73.01934341533283
Exp,25.034049999999997,5,6,I followed the paths logically and learnt from the computer's answers,7,1,1,1,0,0,0,1,1,1,0,1,0,63.942307692307686,14.52945,59.54170049780083
Exp,14.858233333333335,6,6,"I couldn't rechoose another option to intervene with if I had changed my mind, and when some objectives were to lower a specific trait, intervening raised them.",6,1,1,0,1,0,0,1,1,1,0,0,0,57.9326923076923,28.354233333333333,83.17839162815989
Ctr,0.27588333333333337,6,6,I think it shows a clear representation of how the mind and body are linked and how tackling mental health can affect physical symptoms and vice versa.,4,0,0,0,0,0,0,1,1,1,0,1,0,27.884615384615373,15.888733333333334,56.644856930401964
Ctr,0.6007166666666667,5,5,it was kind of confusing,5,0,1,0,0,0,0,1,1,1,0,1,0,45.91346153846153,20.82565,46.88331150678544
Ctr,0.38204999999999995,4,4,i just tried to move things arround and see how other elements were affected,3,1,0,0,0,0,0,1,0,1,0,0,0,33.89423076923076,14.283466666666667,18.979836941282052
Ctr,1.0165333333333333,5,5,i thought it was very well thought out and i found it enjoyable and visually pleasing,2,0,1,0,0,0,0,0,0,1,0,0,0,21.874999999999993,7.74095,15.412647599757669
Ctr,0.42336666666666667,5,6,"Very explorative, just testing out the result of different interventions without particular strategy",3,0,0,0,0,0,0,1,1,1,0,0,0,27.884615384615373,21.4957,20.71848067830036
Exp,17.432816666666668,6,7,I thought it was a fun strategic game that introduced me to different ways to promoting good traits and diminishing bad traits that one may encounter in daily life.,6,0,1,1,1,0,0,0,1,1,0,1,0,37.5,16.09715,18.970145802114033
Exp,4.656366666666667,3,3,i found the layout very confusing but this could be because im not used to playing games at all,5,0,1,1,0,0,0,1,0,1,0,1,0,27.884615384615373,9.244433333333335,23.89225355448453
Exp,35.8128,7,2,"I had to play the game for a while until I completely understood what the arrows did the the effect of interventions, for example, for bad things the intervention would affect the other things in an opposite way to the arrow colours. If an arrow would reduce something, doing an intervention on a negative variable, would increase that thing.",7,0,1,1,1,0,0,1,1,1,0,1,0,39.903846153846146,16.95553333333333,65.29542541513325
Ctr,0.44406666666666667,5,6,I focussed on the educational aspect and health as they seemed to have several positive effects. I enjoyed the visuals of the presentation although found the arrows a little confusing and when i moved any of the bubbles it would make the whole thing look like a mess.,4,1,0,0,0,0,0,1,0,1,0,1,0,51.92307692307692,12.219233333333333,46.213525734471865
Exp,1.2353999999999998,6,6,I didn't really have a strategy and it took me a while to get the hang of it,5,0,1,1,0,0,0,1,1,1,0,0,0,45.91346153846153,15.4622,10.388623131998607
Ctr,0.35568333333333335,4,4,"It was very confusing, I didn't know what to expect and instructions were unclear. I think this software could be very helpful to see a chain of effects as a result of certain behaviours. I did not have a strategy as I didn't know what the aim was or what I was trying to achieve.",0,0,0,0,0,0,0,0,0,0,0,0,0,33.89423076923076,28.40823333333333,42.09830384695795
Exp,2.48165,5,6,"I found it quite confusing, when the computer beat me in a task it was not really explained why. However, I developed a sort-of strategy of trying to find the thickest lines or correlation between traits and work with those, or look at traits that had another linkage in common. The presentation was confusing, but I think that was the point.",7,0,1,1,1,0,0,1,1,1,0,1,0,57.9326923076923,23.32055,48.15540048263266
Exp,6.4127,5,6,"Thinking logically helped me the most, and after a while you tend to start memorising what affects what which makes it easier",7,0,1,1,1,0,0,1,1,1,0,1,0,57.9326923076923,9.26965,54.89199234187996
Ctr,0.37965,6,6,It was interesting to look at the interactions between a range of different things which effect day to day life,3,1,0,0,0,0,0,0,1,1,0,0,0,51.92307692307692,23.436249999999998,61.77053962301879
Ctr,0.81015,5,3,I did not have a strategy.,6,0,1,1,0,0,0,1,1,1,0,1,0,32.692307692307686,10.7093,12.822507100327531
Ctr,0.18001666666666666,5,5,really enjoyed it,6,1,1,0,1,0,0,1,0,1,0,1,0,23.076923076923077,9.567450000000001,10.422857725916987
Ctr,0.5505,4,5,It was quite confusing but was interesting layout e.g. not just words on a screen,4,1,1,0,0,0,0,1,0,1,0,0,0,21.874999999999993,19.252966666666666,46.863178054156
Ctr,6.139083333333334,7,7,It was very interesting to see how one thing can affect many others. We are usually not aware of all the consequences of an action and this software makes you really understand this,4,0,0,0,0,0,0,1,1,1,0,1,0,39.903846153846146,18.662750000000003,72.06718696442559
Exp,4.9314,6,6,The software was really intriguing and an interesting way of approaching mental and physical health. It was difficult to see some of the arrows as were small or hidden by other arrows.,6,1,1,1,0,0,0,0,1,1,0,1,0,50.72115384615385,16.801116666666665,11.610275891026339
Ctr,7.2851333333333335,3,5,"The rapid change of arrows felt somewhat overwhelming when I would make certain interventions, which made it difficult to follow at times.",6,1,0,1,0,0,0,1,1,1,0,1,0,27.884615384615373,27.811433333333337,68.72997717394759
Exp,48.027,7,6,"I really enjoyed the software, especially the layout showing how interlinked all the various traits are and the multitude of effects each intervention can have.",6,0,1,1,1,0,0,1,1,1,0,0,0,51.92307692307692,14.423233333333334,65.39778225822347
Ctr,9.227566666666666,4,3,I think the effects are not quite memorable because the animation of how things interact is too quick and lacks explanation so I did not quite catch up with it.,7,1,1,1,1,0,0,1,0,1,0,1,0,63.942307692307686,30.704633333333334,79.46606114569539
Ctr,0.8636,7,6,Increasing education and exercise in order to promote healthy sleeping scheduled and to keep bmi and heart illness down.,0,0,0,0,0,0,0,0,0,0,0,0,0,33.89423076923076,8.765566666666667,28.587773523892768
Exp,2.0206500000000003,6,6,"initially I did not have a strategy, but as the game processed I started producing patterns for the same issues. at the start the software was confusing, I didn't grasp the concept especially once upgraded to making two interventions but as I was exposed to it more, I got the hang of it. it was fun as it was highly interactive and engaging",6,1,1,1,0,0,0,1,0,1,0,1,0,27.884615384615373,17.274433333333334,48.742224026949096
Ctr,0.16743333333333332,5,6,The visual of the software made it clear how these aspects of life are intertwined even more than we tend to comprehend. One change would set off multiple others and drastically alter the system.,5,0,0,0,1,0,0,1,1,1,0,1,0,50.72115384615385,10.3775,46.26685138276977
Exp,12.56145,2,2,"I didn't like the game and I don't feel like I learned much, the whole thing was a bit confusing for me and I was at some point only looking at arrows and how they should work instead of thinking about the actual effect and learning from the game",2,0,0,0,0,0,0,0,0,1,0,1,0,39.903846153846146,14.107850000000001,46.56118826838494
Exp,6.677449999999999,6,6,Enjoyed finding how to reduce/increase certain traits although I didn't have a proper strategy apart from trial and error. I clicked the wrong button once which prevented me from achieving what I wanted.,6,1,1,1,0,0,0,1,1,1,0,0,0,51.92307692307692,14.019,61.3884614669294
Ctr,0.6029333333333333,3,3,"At first I found it a little confusing to work and didn't really understand the aims behind it. However, once I started seeing how the relationships could change through modifying certain things, I felt there was more purpose to what I was doing and understood the relationships far better.",3,1,0,0,0,0,0,0,1,1,0,0,0,45.91346153846153,13.822333333333335,61.63762836500596
Ctr,0.5570833333333333,6,5,I don't think I fully understood how to use it. It was interesting to see how different mental health outcomes are influenced by health choices.,3,0,1,0,0,0,0,1,0,0,0,1,0,38.70192307692307,21.014799999999997,33.705053452845036
Exp,18.56978333333333,7,6,"started to memorize what influenced what and used that in future strategies, very engaging",7,1,0,1,1,0,0,1,1,1,0,1,0,45.91346153846153,14.970483333333334,36.46625990696897
Ctr,4.8364,5,2,Bit confusing,2,0,1,0,0,0,0,0,0,1,0,0,0,39.903846153846146,24.274033333333332,43.91741099055871
Exp,11.032116666666667,2,2,I found the system confusing but was useful to have the computer there. I wasn't able to click education,1,0,1,0,0,0,0,0,0,0,0,0,0,27.884615384615373,7.127383333333333,18.120258352378475
Exp,53.63998333333333,1,1,"I did not understand how the game worked, so by the end I was just playing it randomly. The game itself looked very interesting but the instructions need to be clearer.",4,0,1,0,1,0,0,0,0,1,0,1,0,45.91346153846153,12.968383333333332,58.65641499765729
Ctr,2.3845,5,5,No strategy; very nice graphics,4,0,0,0,0,0,0,1,1,1,0,1,0,57.9326923076923,22.262983333333334,75.63375371402503
Exp,11.786933333333334,7,6,The tutorial got me to be familiar with the task and increased my accuracy in later levels.,7,1,1,1,1,0,0,1,1,1,0,0,0,45.91346153846153,14.202683333333335,21.387229139518737
Exp,28.492966666666668,7,5,I did have a strategy to use the arrows to guide me. It was frustrating because I didn't understand why certain policies would have certain effects. Loneliness on wellbeing seemed odd. Presentation was alright.,6,1,1,1,0,0,0,1,0,1,0,1,0,21.874999999999993,17.305,55.792365362632005
Exp,20.315116666666665,6,6,Engaging. It actually interested me when different interventions effect different traits etc,6,1,0,0,1,0,0,1,1,1,0,1,0,21.874999999999993,12.88475,56.61786460072993
Ctr,7.641933333333333,4,6,Confusing. What was the task?,2,0,0,0,0,0,0,0,0,1,0,1,0,51.92307692307692,12.99195,20.71308370365915
Exp,6.939283333333334,3,6,Tried to follow the instructions as best as I could but got confused a few times,5,1,0,0,0,0,0,1,1,1,0,1,0,36.29807692307692,49.063183333333335,49.80492992293455
Exp,17.124483333333334,6,6,"I made a mental note of the computer's winning responses and made sure to choose those options when they came up again. It would have been nice to be able to have a closer image of the game, or an interactive zoom option. Additionally, It would have been motivating and interesting to see the scores tallied between the computer and the player. I thought the music was a good balance of soft and continuous, providing an immersive experience without being distracting.",5,0,1,1,1,0,0,0,1,1,0,0,0,57.9326923076923,10.514416666666667,22.333444190932696
Ctr,0.7664333333333333,5,5,I donot have a strategy,6,1,1,1,1,0,0,1,0,0,0,1,0,57.9326923076923,16.66893333333333,20.862083314077672
