id,target,effect,interventionLimit,username,tiomstamp,score
1028,"ukb_b_3957,ieu_a_1239",ukb_b_5076,2,game-0.7321950326506161,4/12/20 16:51,100
1027,ukb_b_5237,999,20,iv-0.36066224011624204,4/12/20 16:51,999
1026,ukb_b_19953,ukb_b_8476,1,game-0.6052967413898229,4/12/20 16:51,0
1025,ukb_b_5237,999,19,iv-0.36066224011624204,4/12/20 16:51,999
1024,ukb_b_5237,999,18,iv-0.36066224011624204,4/12/20 16:51,999
1023,ukb_b_4710,999,17,iv-0.36066224011624204,4/12/20 16:51,999
1022,ukb_b_4710,999,16,iv-0.36066224011624204,4/12/20 16:51,999
1021,ukb_b_4710,999,15,iv-0.36066224011624204,4/12/20 16:51,999
1020,"ieu_a_1239,ukb_b_5779",ukb_b_4956,2,game-0.8443185386443874,4/12/20 16:51,100
1019,ukb_b_4710,999,14,iv-0.36066224011624204,4/12/20 16:51,999
1018,"ukb_b_3957,ukb_b_5779",ukb_b_19953,2,game-0.7321950326506161,4/12/20 16:51,46
1017,ukb_b_5076,999,13,iv-0.36066224011624204,4/12/20 16:51,999
1016,ukb_b_5076,999,12,iv-0.36066224011624204,4/12/20 16:51,999
1015,ukb_b_5076,999,11,iv-0.36066224011624204,4/12/20 16:51,999
1014,ieu_a_1018,999,10,iv-0.36066224011624204,4/12/20 16:51,999
1013,ieu_a_118,999,9,iv-0.36066224011624204,4/12/20 16:50,999
1012,ukb_b_8476,ieu_a_1239,1,game-0.6052967413898229,4/12/20 16:50,66
1011,"ukb_b_6519,ieu_a_1187",ukb_b_3957,2,game-0.8443185386443874,4/12/20 16:50,42
1010,"ukb_b_3957,ukb_b_8476",ukb_b_5779,2,game-0.7321950326506161,4/12/20 16:50,100
1009,ukb_b_19953,999,8,iv-0.36066224011624204,4/12/20 16:50,999
1008,ukb_b_19953,999,7,iv-0.36066224011624204,4/12/20 16:50,999
1007,ukb_b_5076,999,6,iv-0.36066224011624204,4/12/20 16:50,999
1006,ukb_b_5076,999,5,iv-0.36066224011624204,4/12/20 16:50,999
1005,ieu_a_7,999,4,iv-0.36066224011624204,4/12/20 16:50,999
1004,"ukb_b_3957,ukb_b_8476",ukb_b_6519,2,game-0.7321950326506161,4/12/20 16:50,0
1003,ieu_a_1239,999,3,iv-0.36066224011624204,4/12/20 16:50,999
1002,"ukb_b_3957,ieu_a_1239",ukb_b_5779,2,game-0.8443185386443874,4/12/20 16:50,60
1001,ieu_a_1239,999,2,iv-0.36066224011624204,4/12/20 16:50,999
1000,"ieu_a_1187,ukb_b_8476",ukb_b_6519,2,game-0.7321950326506161,4/12/20 16:50,100
999,ieu_a_1239,ukb_b_5238,1,game-0.8443185386443874,4/12/20 16:50,100
998,ieu_a_7,999,1,iv-0.36066224011624204,4/12/20 16:50,999
997,"ieu_a_1187,ukb_b_3957",ieu_a_1239,2,game-0.7321950326506161,4/12/20 16:49,60
996,ukb_b_3957,ukb_b_5779,1,game-0.8443185386443874,4/12/20 16:49,100
995,ieu_a_1239,ukb_b_5238,1,game-0.8443185386443874,4/12/20 16:49,100
994,ieu_a_1239,ukb_b_19953,1,game-0.8443185386443874,4/12/20 16:49,100
993,"ukb_b_6519,ukb_b_3957",ukb_b_4710,2,game-0.7321950326506161,4/12/20 16:49,100
992,ieu_a_1239,ieu_a_118,1,game-0.8443185386443874,4/12/20 16:48,52
991,ieu_a_1187,ukb_b_6519,1,game-0.8443185386443874,4/12/20 16:48,100
990,"ukb_b_3957,ukb_b_6519",ukb_b_8476,2,game-0.7321950326506161,4/12/20 16:48,100
989,ieu_a_24,ukb_b_19953,1,game-0.8443185386443874,4/12/20 16:48,0
988,"ukb_b_8476,ukb_b_3957",ukb_b_4956,2,game-0.7321950326506161,4/12/20 16:48,100
987,ieu_a_1187,ieu_a_1018,1,game-0.8443185386443874,4/12/20 16:48,0
986,ukb_b_19953,ukb_b_4710,1,game-0.8443185386443874,4/12/20 16:47,100
985,"ukb_b_19953,ieu_a_1239",ieu_a_1018,2,game-0.7321950326506161,4/12/20 16:47,0
984,"ukb_b_19953,ukb_b_5779",ieu_a_24,2,game-0.7321950326506161,4/12/20 16:47,52
983,ukb_b_3957,ukb_b_8476,1,game-0.8443185386443874,4/12/20 16:46,0
982,"ukb_b_6519,ieu_a_1187",ieu_a_1018,2,game-0.7321950326506161,4/12/20 16:46,65
981,ukb_b_5238,ukb_b_6519,1,game-0.8443185386443874,4/12/20 16:46,0
980,ieu_a_1187,ieu_a_1018,1,game-0.8443185386443874,4/12/20 16:46,0
979,"ukb_b_8476,ukb_b_6519",ieu_a_118,2,game-0.7321950326506161,4/12/20 16:46,100
978,"ieu_a_24,ieu_a_1239",ukb_b_5779,2,game-0.7321950326506161,4/12/20 16:46,0
977,ukb_b_8476,ukb_b_4956,1,game-0.8443185386443874,4/12/20 16:45,100
976,"ukb_b_6519,ieu_a_1187",ieu_a_118,2,game-0.7321950326506161,4/12/20 16:45,43
975,"ukb_b_3957,ukb_b_5238",ieu_a_1239,2,game-0.7321950326506161,4/12/20 16:45,60
974,ieu_a_24,ieu_a_7,1,game-0.8443185386443874,4/12/20 16:44,0
973,,ukb_b_4710,0,game-0.7321950326506161,4/12/20 16:44,100
972,"ukb_b_5779,ukb_b_3957",ukb_b_4710,2,game-0.7321950326506161,4/12/20 16:44,100
971,ukb_b_19953,ieu_a_24,1,game-0.8443185386443874,4/12/20 16:43,69
970,"ukb_b_8476,ieu_a_1187",ukb_b_5076,2,game-0.7321950326506161,4/12/20 16:43,100
969,"ukb_b_4710,ukb_b_19953",ieu_a_24,2,game-0.7321950326506161,4/12/20 16:42,41
968,"ukb_b_3957,ukb_b_4710",ieu_a_118,2,game-0.7321950326506161,4/12/20 16:41,3
967,"ukb_b_5779,ukb_b_3957",ieu_a_1018,2,game-0.7321950326506161,4/12/20 16:41,35
966,"ieu_a_24,ukb_b_4710",ukb_b_19953,2,game-0.7321950326506161,4/12/20 16:40,0
965,"ukb_b_8476,ieu_a_1239",ukb_b_5779,2,game-0.7321950326506161,4/12/20 16:39,40
964,"ukb_b_3957,ieu_a_1239",ukb_b_4710,2,game-0.7321950326506161,4/12/20 16:38,100
963,"ukb_b_5238,ieu_a_1239",ieu_a_118,2,game-0.7321950326506161,4/12/20 16:36,30
962,"ieu_a_1239,ukb_b_3957",ukb_b_5076,2,game-0.7321950326506161,4/12/20 16:36,100
961,ieu_a_1239,ukb_b_5238,1,game-0.7321950326506161,4/12/20 16:35,100
960,ieu_a_1239,ieu_a_961,1,game-0.7321950326506161,4/12/20 16:33,100
959,ukb_b_19953,999,19,iv-0.3684713714720378,4/12/20 16:31,999
958,ukb_b_6519,999,18,iv-0.3684713714720378,4/12/20 16:30,999
957,ieu_a_1018,999,17,iv-0.3684713714720378,4/12/20 16:30,999
956,ukb_b_8476,999,16,iv-0.3684713714720378,4/12/20 16:30,999
955,ieu_a_24,999,15,iv-0.3684713714720378,4/12/20 16:30,999
954,ukb_b_4710,999,13,iv-0.3684713714720378,4/12/20 16:29,999
953,ukb_b_4956,999,12,iv-0.3684713714720378,4/12/20 16:29,999
952,ukb_b_5779,999,11,iv-0.3684713714720378,4/12/20 16:29,999
951,ieu_a_118,999,10,iv-0.3684713714720378,4/12/20 16:29,999
950,ukb_b_19953,999,9,iv-0.3684713714720378,4/12/20 16:28,999
949,ukb_b_19953,999,8,iv-0.3684713714720378,4/12/20 16:28,999
948,ukb_b_19953,999,7,iv-0.3684713714720378,4/12/20 16:28,999
947,ukb_b_5237,999,6,iv-0.3684713714720378,4/12/20 16:28,999
946,ieu_a_1239,999,5,iv-0.3684713714720378,4/12/20 16:27,999
945,ieu_a_1239,999,4,iv-0.3684713714720378,4/12/20 16:27,999
944,ieu_a_1239,999,3,iv-0.3684713714720378,4/12/20 16:27,999
943,ieu_a_1239,999,2,iv-0.3684713714720378,4/12/20 16:27,999
942,ukb_b_4710,999,1,iv-0.3684713714720378,4/12/20 16:27,999
941,,ukb_b_5237,0,game-0.3326930044833849,4/12/20 16:19,0
940,,ukb_b_5237,0,game-0.3326930044833849,4/12/20 16:19,0
939,ieu_a_1239,ukb_b_4710,1,game-0.3326930044833849,4/12/20 16:16,100
938,ieu_a_1018,999,5,iv-0.09153364902286243,4/12/20 16:15,999
937,ieu_a_1018,999,4,iv-0.09153364902286243,4/12/20 16:15,999
936,"ieu_a_1187,ukb_b_5779",ukb_b_3957,2,game-0.3326930044833849,4/12/20 16:15,0
935,ieu_a_1239,999,3,iv-0.09153364902286243,4/12/20 16:15,999
934,ieu_a_1239,999,2,iv-0.09153364902286243,4/12/20 16:15,999
933,ieu_a_1239,999,1,iv-0.09153364902286243,4/12/20 16:15,999
932,"ukb_b_6519,ieu_a_1187",ukb_b_8476,2,game-0.3326930044833849,4/12/20 16:14,100
931,"ukb_b_19953,ukb_b_4710",ieu_a_24,2,game-0.3326930044833849,4/12/20 16:13,41
930,"ukb_b_8476,ukb_b_5779",ukb_b_3957,2,game-0.3326930044833849,4/12/20 16:13,58
929,ukb_b_6519,ieu_a_118,1,game-0.3326930044833849,4/12/20 16:12,75
928,ukb_b_4710,ieu_a_24,1,game-0.3326930044833849,4/12/20 16:12,0
927,ukb_b_6519,ieu_a_1018,1,game-0.3326930044833849,4/12/20 16:12,100
926,ukb_b_8476,ieu_a_1018,1,game-0.3326930044833849,4/12/20 16:11,36
925,ieu_a_1239,ukb_b_5238,1,game-0.3326930044833849,4/12/20 16:11,100
924,ukb_b_5238,ieu_a_1239,1,game-0.3326930044833849,4/12/20 16:10,0
923,ukb_b_19953,ukb_b_4710,1,game-0.3326930044833849,4/12/20 16:09,100
922,ieu_a_1239,999,42,iv-0.7627188518832544,4/12/20 16:05,999
921,ukb_b_8476,999,41,iv-0.7627188518832544,4/12/20 16:05,999
920,ieu_a_118,999,40,iv-0.7627188518832544,4/12/20 16:05,999
919,ukb_b_8476,999,39,iv-0.7627188518832544,4/12/20 16:05,999
918,ukb_b_5076,999,38,iv-0.7627188518832544,4/12/20 16:05,999
917,ukb_b_5076,999,37,iv-0.7627188518832544,4/12/20 16:05,999
916,ukb_b_5076,999,36,iv-0.7627188518832544,4/12/20 16:04,999
915,ieu_a_1239,999,35,iv-0.7627188518832544,4/12/20 16:03,999
914,ieu_a_1239,ukb_b_4710,1,game-0.1835257793948054,4/12/20 16:03,100
913,ieu_a_118,999,34,iv-0.7627188518832544,4/12/20 16:03,999
912,ieu_a_1187,999,33,iv-0.7627188518832544,4/12/20 16:03,999
911,ukb_b_6519,999,32,iv-0.7627188518832544,4/12/20 16:02,999
910,ukb_b_8476,999,31,iv-0.7627188518832544,4/12/20 16:02,999
909,ukb_b_5238,999,30,iv-0.7627188518832544,4/12/20 16:02,999
908,ukb_b_5237,999,29,iv-0.7627188518832544,4/12/20 16:02,999
907,ieu_a_7,999,28,iv-0.7627188518832544,4/12/20 16:02,999
906,ukb_b_5779,999,27,iv-0.7627188518832544,4/12/20 16:01,999
905,ukb_b_5779,999,26,iv-0.7627188518832544,4/12/20 16:01,999
904,ukb_b_4956,999,25,iv-0.7627188518832544,4/12/20 16:01,999
903,ukb_b_4956,999,24,iv-0.7627188518832544,4/12/20 16:01,999
902,ieu_a_1239,999,23,iv-0.7627188518832544,4/12/20 16:01,999
901,ukb_b_19953,999,22,iv-0.7627188518832544,4/12/20 16:01,999
900,ieu_a_961,999,21,iv-0.7627188518832544,4/12/20 16:01,999
899,ieu_a_961,999,20,iv-0.7627188518832544,4/12/20 16:01,999
898,ieu_a_961,999,19,iv-0.7627188518832544,4/12/20 16:01,999
897,ieu_a_1187,999,18,iv-0.7627188518832544,4/12/20 16:00,999
896,ukb_b_3957,999,17,iv-0.7627188518832544,4/12/20 16:00,999
895,ukb_b_6519,999,16,iv-0.7627188518832544,4/12/20 15:59,999
894,ukb_b_5076,999,15,iv-0.7627188518832544,4/12/20 15:59,999
893,ukb_b_3957,999,14,iv-0.7627188518832544,4/12/20 15:59,999
892,ukb_b_4956,999,13,iv-0.7627188518832544,4/12/20 15:59,999
891,ukb_b_4956,999,12,iv-0.7627188518832544,4/12/20 15:59,999
890,ukb_b_4710,999,11,iv-0.7627188518832544,4/12/20 15:58,999
889,ukb_b_4710,999,10,iv-0.7627188518832544,4/12/20 15:58,999
888,ieu_a_1187,999,9,iv-0.7627188518832544,4/12/20 15:58,999
887,ukb_b_6519,999,8,iv-0.7627188518832544,4/12/20 15:57,999
886,ukb_b_5076,999,14,iv-0.6563901639071206,4/12/20 15:57,999
885,ukb_b_5076,999,13,iv-0.6563901639071206,4/12/20 15:57,999
884,ukb_b_5076,999,12,iv-0.6563901639071206,4/12/20 15:57,999
883,ukb_b_5076,999,11,iv-0.6563901639071206,4/12/20 15:57,999
882,ukb_b_5076,999,10,iv-0.6563901639071206,4/12/20 15:57,999
881,ukb_b_3957,999,9,iv-0.6563901639071206,4/12/20 15:57,999
880,ukb_b_19953,999,8,iv-0.6563901639071206,4/12/20 15:57,999
879,ukb_b_5076,999,7,iv-0.6563901639071206,4/12/20 15:57,999
878,ukb_b_5076,999,6,iv-0.6563901639071206,4/12/20 15:57,999
877,ukb_b_5076,999,5,iv-0.6563901639071206,4/12/20 15:57,999
876,ieu_a_1018,999,4,iv-0.6563901639071206,4/12/20 15:57,999
875,ieu_a_1018,999,3,iv-0.6563901639071206,4/12/20 15:57,999
874,ieu_a_1239,999,7,iv-0.7627188518832544,4/12/20 15:57,999
873,ieu_a_1018,999,6,iv-0.7627188518832544,4/12/20 15:57,999
872,ieu_a_1018,999,5,iv-0.7627188518832544,4/12/20 15:56,999
871,ieu_a_1018,999,4,iv-0.7627188518832544,4/12/20 15:56,999
870,ieu_a_1018,999,3,iv-0.7627188518832544,4/12/20 15:56,999
869,ukb_b_5238,999,2,iv-0.6563901639071206,4/12/20 15:56,999
868,,ukb_b_6519,0,game-0.1835257793948054,4/12/20 15:56,0
867,"ukb_b_8476,ieu_a_1187",ukb_b_6519,2,game-0.1835257793948054,4/12/20 15:56,100
866,ieu_a_1239,999,2,iv-0.7627188518832544,4/12/20 15:56,999
865,ieu_a_1239,999,1,iv-0.6563901639071206,4/12/20 15:56,999
864,ukb_b_5779,999,1,iv-0.7627188518832544,4/12/20 15:56,999
863,"ukb_b_3957,ukb_b_5238",ieu_a_1239,2,game-0.1835257793948054,4/12/20 15:55,60
862,ieu_a_7,999,61,iv-0.8729513112733793,4/12/20 15:55,999
861,ieu_a_7,999,60,iv-0.8729513112733793,4/12/20 15:55,999
860,ieu_a_7,999,59,iv-0.8729513112733793,4/12/20 15:55,999
859,ukb_b_5076,999,58,iv-0.8729513112733793,4/12/20 15:55,999
858,ukb_b_8476,999,57,iv-0.8729513112733793,4/12/20 15:54,999
857,ukb_b_6519,999,56,iv-0.8729513112733793,4/12/20 15:54,999
856,ukb_b_6519,999,55,iv-0.8729513112733793,4/12/20 15:54,999
855,ukb_b_5076,999,54,iv-0.8729513112733793,4/12/20 15:54,999
854,ukb_b_5076,999,53,iv-0.8729513112733793,4/12/20 15:54,999
853,ukb_b_5076,999,52,iv-0.8729513112733793,4/12/20 15:54,999
852,ukb_b_5076,999,51,iv-0.8729513112733793,4/12/20 15:54,999
851,ukb_b_4710,999,50,iv-0.8729513112733793,4/12/20 15:54,999
850,ukb_b_4710,999,49,iv-0.8729513112733793,4/12/20 15:54,999
849,ukb_b_4710,999,48,iv-0.8729513112733793,4/12/20 15:54,999
848,ukb_b_5238,999,47,iv-0.8729513112733793,4/12/20 15:54,999
847,ukb_b_5238,999,46,iv-0.8729513112733793,4/12/20 15:54,999
846,ukb_b_5238,999,45,iv-0.8729513112733793,4/12/20 15:54,999
845,ukb_b_5238,999,44,iv-0.8729513112733793,4/12/20 15:54,999
844,ieu_a_7,999,43,iv-0.8729513112733793,4/12/20 15:54,999
843,ieu_a_7,999,42,iv-0.8729513112733793,4/12/20 15:54,999
842,ieu_a_7,999,41,iv-0.8729513112733793,4/12/20 15:54,999
841,ieu_a_7,999,40,iv-0.8729513112733793,4/12/20 15:54,999
840,ieu_a_7,999,39,iv-0.8729513112733793,4/12/20 15:54,999
839,ieu_a_7,999,38,iv-0.8729513112733793,4/12/20 15:54,999
838,ieu_a_7,999,37,iv-0.8729513112733793,4/12/20 15:54,999
837,ieu_a_7,999,36,iv-0.8729513112733793,4/12/20 15:54,999
836,ieu_a_7,999,35,iv-0.8729513112733793,4/12/20 15:54,999
835,ieu_a_1239,999,34,iv-0.8729513112733793,4/12/20 15:54,999
834,ukb_b_3957,999,33,iv-0.8729513112733793,4/12/20 15:54,999
833,"ukb_b_3957,ieu_a_1187",ukb_b_8476,2,game-0.1835257793948054,4/12/20 15:54,0
832,ukb_b_19953,999,32,iv-0.8729513112733793,4/12/20 15:54,999
831,ukb_b_19953,999,31,iv-0.8729513112733793,4/12/20 15:54,999
830,ukb_b_19953,999,30,iv-0.8729513112733793,4/12/20 15:54,999
829,ukb_b_19953,999,29,iv-0.8729513112733793,4/12/20 15:54,999
828,ukb_b_5238,999,28,iv-0.8729513112733793,4/12/20 15:53,999
827,ukb_b_5238,999,27,iv-0.8729513112733793,4/12/20 15:53,999
826,ukb_b_5238,999,26,iv-0.8729513112733793,4/12/20 15:53,999
825,ukb_b_5238,999,25,iv-0.8729513112733793,4/12/20 15:53,999
824,ukb_b_5238,999,24,iv-0.8729513112733793,4/12/20 15:53,999
823,ukb_b_5238,999,23,iv-0.8729513112733793,4/12/20 15:53,999
822,ukb_b_5238,999,22,iv-0.8729513112733793,4/12/20 15:53,999
821,ukb_b_5238,999,21,iv-0.8729513112733793,4/12/20 15:53,999
820,ukb_b_5238,999,20,iv-0.8729513112733793,4/12/20 15:53,999
819,ukb_b_5238,999,19,iv-0.8729513112733793,4/12/20 15:53,999
818,ukb_b_5238,999,18,iv-0.8729513112733793,4/12/20 15:53,999
817,ukb_b_5238,999,17,iv-0.8729513112733793,4/12/20 15:53,999
816,ieu_a_1239,999,16,iv-0.8729513112733793,4/12/20 15:53,999
815,ieu_a_1239,999,15,iv-0.8729513112733793,4/12/20 15:53,999
814,ieu_a_1239,999,14,iv-0.8729513112733793,4/12/20 15:53,999
813,ieu_a_1239,999,13,iv-0.8729513112733793,4/12/20 15:53,999
812,ieu_a_1239,999,12,iv-0.8729513112733793,4/12/20 15:53,999
811,ieu_a_1239,999,11,iv-0.8729513112733793,4/12/20 15:53,999
810,ieu_a_1239,999,10,iv-0.8729513112733793,4/12/20 15:53,999
809,ieu_a_1239,999,9,iv-0.8729513112733793,4/12/20 15:53,999
808,ieu_a_1239,999,8,iv-0.8729513112733793,4/12/20 15:53,999
807,ieu_a_1239,999,7,iv-0.8729513112733793,4/12/20 15:53,999
806,ieu_a_1239,999,6,iv-0.8729513112733793,4/12/20 15:53,999
805,ieu_a_1239,999,5,iv-0.8729513112733793,4/12/20 15:53,999
804,ieu_a_1239,999,4,iv-0.8729513112733793,4/12/20 15:53,999
803,ieu_a_1239,999,3,iv-0.8729513112733793,4/12/20 15:53,999
802,ieu_a_1018,999,2,iv-0.8729513112733793,4/12/20 15:53,999
801,ieu_a_1187,999,22,iv-0.6954159701991361,4/12/20 15:52,999
800,ieu_a_1187,999,21,iv-0.6954159701991361,4/12/20 15:52,999
799,"ieu_a_1187,ieu_a_1239",ieu_a_118,2,game-0.1835257793948054,4/12/20 15:52,30
798,ukb_b_19953,999,20,iv-0.6954159701991361,4/12/20 15:52,999
797,ukb_b_19953,999,19,iv-0.6954159701991361,4/12/20 15:52,999
796,ieu_a_1239,999,1,iv-0.8729513112733793,4/12/20 15:52,999
795,ukb_b_5076,999,17,iv-0.6954159701991361,4/12/20 15:52,999
794,ukb_b_5076,999,18,iv-0.6954159701991361,4/12/20 15:52,999
793,ukb_b_5076,999,16,iv-0.6954159701991361,4/12/20 15:51,999
792,ukb_b_5238,999,15,iv-0.6954159701991361,4/12/20 15:51,999
791,ieu_a_1239,ieu_a_7,1,game-0.1835257793948054,4/12/20 15:51,100
790,ieu_a_1239,999,14,iv-0.6954159701991361,4/12/20 15:51,999
789,ieu_a_1239,999,13,iv-0.6954159701991361,4/12/20 15:51,999
788,ieu_a_1239,999,12,iv-0.6954159701991361,4/12/20 15:51,999
787,ieu_a_1239,999,11,iv-0.6954159701991361,4/12/20 15:51,999
786,ieu_a_1239,999,10,iv-0.6954159701991361,4/12/20 15:51,999
785,ieu_a_1239,999,9,iv-0.6954159701991361,4/12/20 15:51,999
784,ieu_a_1239,999,8,iv-0.6954159701991361,4/12/20 15:51,999
783,ieu_a_1239,999,7,iv-0.6954159701991361,4/12/20 15:51,999
782,ieu_a_1239,999,6,iv-0.6954159701991361,4/12/20 15:51,999
781,ieu_a_1239,999,5,iv-0.6954159701991361,4/12/20 15:51,999
780,ieu_a_7,999,4,iv-0.6954159701991361,4/12/20 15:50,999
779,ieu_a_7,999,3,iv-0.6954159701991361,4/12/20 15:50,999
778,ukb_b_3957,ukb_b_6519,1,game-0.1835257793948054,4/12/20 15:50,0
777,ukb_b_5779,999,2,iv-0.6954159701991361,4/12/20 15:50,999
776,ieu_a_118,999,1,iv-0.6954159701991361,4/12/20 15:49,999
775,ieu_a_1239,ieu_a_24,1,game-0.1835257793948054,4/12/20 15:49,100
774,ukb_b_5238,ieu_a_1239,1,game-0.1835257793948054,4/12/20 15:48,0
773,ukb_b_8476,ukb_b_3957,1,game-0.5248792953627254,4/12/20 15:48,100
772,ieu_a_24,ukb_b_19953,1,game-0.1835257793948054,4/12/20 15:47,0
771,ieu_a_1239,ieu_a_961,1,game-0.5248792953627254,4/12/20 15:47,100
770,ukb_b_5238,ukb_b_5076,1,game-0.5248792953627254,4/12/20 15:46,100
769,ukb_b_4710,ukb_b_5237,1,game-0.5248792953627254,4/12/20 15:46,100
768,ieu_a_1187,ukb_b_6519,1,game-0.5248792953627254,4/12/20 15:45,100
767,ieu_a_1239,ukb_b_19953,1,game-0.5248792953627254,4/12/20 15:45,100
766,ukb_b_8476,ieu_a_1018,1,game-0.5248792953627254,4/12/20 15:44,36
765,ukb_b_5779,ieu_a_1239,1,game-0.5248792953627254,4/12/20 15:44,48
764,ieu_a_1187,ieu_a_961,1,game-0.5248792953627254,4/12/20 15:43,0
763,ukb_b_5779,ieu_a_1239,1,game-0.5248792953627254,4/12/20 15:43,48
762,ukb_b_3957,ieu_a_7,1,game-0.5248792953627254,4/12/20 15:42,42
761,ieu_a_24,ukb_b_19953,1,game-0.5248792953627254,4/12/20 15:41,0
760,ukb_b_8476,ukb_b_6519,1,game-0.5248792953627254,4/12/20 15:41,0
759,ieu_a_1239,ieu_a_961,1,game-0.5248792953627254,4/12/20 15:40,100
758,ukb_b_19953,ieu_a_24,1,game-0.5248792953627254,4/12/20 15:39,69
757,ieu_a_1239,ukb_b_19953,1,game-0.5248792953627254,4/12/20 15:38,100
756,ukb_b_5779,ukb_b_4710,1,game-0.5248792953627254,4/12/20 15:36,100
755,ukb_b_5779,ieu_a_1018,1,game-0.5248792953627254,4/12/20 15:33,0
754,ukb_b_5238,ukb_b_5779,1,game-0.5248792953627254,4/12/20 15:32,0
753,ukb_b_3957,ukb_b_4956,1,game-0.019927805996655445,4/12/20 14:52,100
752,ieu_a_1239,ieu_a_7,1,game-0.019927805996655445,4/12/20 14:52,100
751,ieu_a_1239,ukb_b_4956,1,game-0.019927805996655445,4/12/20 14:52,100
750,ukb_b_3957,ieu_a_1239,1,game-0.019927805996655445,4/12/20 14:52,100
749,ieu_a_1239,999,1,iv-0.7687999107762904,4/12/20 14:51,999
748,ukb_b_19953,999,3,iv-0.6176024769889479,4/12/20 14:50,999
747,ukb_b_8476,999,2,iv-0.6176024769889479,4/12/20 14:49,999
746,ieu_a_1239,999,1,iv-0.6176024769889479,4/12/20 14:49,999
745,ieu_a_1239,999,1,iv-0.5240640406892143,4/12/20 14:49,999
744,ieu_a_1239,999,1,iv-0.6990836517966108,4/12/20 14:48,999
743,ieu_a_1239,999,1,iv-0.730928150184873,4/12/20 14:47,999
742,ieu_a_1239,ukb_b_5238,1,game-0.2418064283243333,1/12/20 22:07,100
741,ieu_a_1239,ukb_b_4956,1,game-0.02596635376847889,1/12/20 13:35,100
740,ukb_b_6519,ukb_b_8476,1,game-0.690418412797841,1/12/20 12:56,100
739,ukb_b_3957,ieu_a_1018,1,game-0.7592976066911803,1/12/20 12:34,54
738,ukb_b_5779,ukb_b_4956,1,game-0.7592976066911803,1/12/20 12:34,100
737,ieu_a_1239,ukb_b_5237,1,game-0.7592976066911803,1/12/20 12:33,0
736,ieu_a_1239,ukb_b_19953,1,game-0.7592976066911803,1/12/20 12:32,100
