cond,cond_dur,Motivation,Direction,FreeText,PLEX_count,Captivation,Challenge,Competition,Completion,Discovery,Progression,Exploration,Fantasy,Humor,Nurture,Relaxation,Sensation,test_score_z,test_dur,test_ffe_total
Exp,1.6272666666666666,7,7,I just tried to follow the links to see which one would have the bigger outcome and affect on the named factor,9,1,1,1,1,0,1,1,0,0,1,1,1,1.216409858342643,10.405716666666667,-1.048963196725024
Ctr,0.6410166666666667,7,7,I quite like the way it was presented as you can see how a series of variables all interact with one another,4,1,0,0,0,0,1,1,0,0,1,0,0,0.35632207971653196,13.487716666666667,-0.8160250942122699
Ctr,1.4676166666666668,6,6,"It went really faster after a while, but the pictures and diagram were really interactive",5,0,0,0,0,1,1,1,0,1,0,1,0,-0.503765698909579,22.4824,1.3043413721888777
Ctr,0.8716166666666666,4,1,"i did not have any sort of strategy when using the software, also i did not particularly find the effects very memorable",4,0,0,0,0,1,1,0,1,0,0,0,1,0.35632207971653196,13.709566666666666,0.21916842561229868
Exp,3.2826,5,6,"I found it slightly difficult to understand at the beginning.  I didn't particularly have a strategy, I just tended to choose the interventions linked by the arrows.  An effect i found memorable was the impact education had",7,0,0,1,0,1,1,1,1,1,0,0,1,0.35632207971653196,16.809866666666668,0.9525362685285892
Exp,22.393716666666666,4,2,"I found it quite frustrating because the computer kept winning by intervening with insomnia, depression, loneliness and worry even when I could not see an arrow connecting the goal to these factors, which made me very very frustrated",6,1,1,1,1,0,0,1,0,0,0,0,1,-0.07372180959652354,14.806133333333333,1.3043413721888777
Exp,10.345083333333333,7,6,At first it was a bit hard to navigate since I felt like the game's design is not the clearest. I did get the hang of it after a couple of rounds and noticed myself trying different strategies. The effect's would have been memorable if the game's presentation was a bit more clear.,9,1,1,1,1,0,1,1,1,1,0,0,1,1.216409858342643,18.435866666666666,-0.33824837981723677
Exp,9.298033333333333,5,5,I would place the icons slightly further apart as it felt slightly cramped,10,1,1,1,1,1,0,1,1,0,1,1,1,1.216409858342643,21.681483333333336,-1.206561100060647
Ctr,0.47195,3,4,"Whilst I was confused at first after I somewhat understood the point of the task and began moving things it became quite thought provoking. I had no particular strategy, just made sure to click on each icon and move it appropriately. The noise effect was very memorable and stood out to me the most. Good presentation, lots of colour used appropriately, however, it was confusing following all the arrows' placements.",5,0,0,0,1,1,0,1,1,0,0,0,1,-0.07372180959652354,26.231466666666666,-1.1706400091982805
Ctr,0.43998333333333334,6,6,I didn't have a strategy initially I just explored the different interventions and when I had more of an idea of how the software worked I reset it and started again this time trying to do the biggest interventions first. I think the effects were memorable at the beginning however they went very fast sometimes and were harder to follow. Overall I liked the presentation as I think it was good to learn visually rather than by reading.,6,1,0,0,0,1,1,1,1,0,0,0,1,1.216409858342643,19.416366666666665,-0.16753195635636084
Exp,8.699516666666666,6,6,"I was trying to figure out how to use the map to choose the best way to solve the issue. I thought the presentation of the software was done really well, very clean and nice to follow",6,0,1,0,0,1,0,1,1,0,1,0,1,0.35632207971653196,9.705033333333335,-1.080600401722189
Ctr,3.3699833333333333,6,6,"I think it was really engaging how I was able to click and hover over the different icons and see how one affects another. I think some of the effects, especially the effect of education on health conditions, is very memorable. I did not have a proper strategy but I tried to look for the things that were indicated at the beginning such as the effect of education and the correlation between BMI and heart diseases.",5,0,0,0,0,1,0,1,1,0,0,1,1,-0.503765698909579,24.14315,0.9275884973066433
Ctr,5.952783333333333,6,3,"At the beginning I didn't really know what to do, so it was fun to learn how everything worked on my own. I also started paying more attention to what I was choosing, and it made the whole game more challenging as there were many links between the traits.",7,1,1,0,0,0,1,1,1,1,0,0,1,1.216409858342643,27.570083333333333,0.828509323550551
Ctr,0.8714999999999999,6,5,"I found the software quite simple. It had no ending and I could leave it at any time, and this made me feel like the software didn't have an aim or achievement in the end.",7,1,0,0,0,1,1,1,1,1,0,0,1,-0.07372180959652354,25.5967,0.23981498499374557
Exp,1.6903833333333333,7,7,I found that sometimes I tried to use the arrows to make my decision and then the computer came up with a more successful intervention that I could have come up with if I'd use common sense instead. So it successfully brings your attention to interventions that could be used in our lives.,4,0,0,0,1,0,0,1,0,0,1,1,0,0.35632207971653196,19.923266666666667,-0.6649031376654374
Ctr,5.780783333333333,6,5,"I did not approach the software with a strategy. I noticed that increasing education would decrease exercise and increase eveningness, this was memorable for me as i found myself thinking back to times where i had stayed up to study or had forfeited exercise or walks to study. In my opinion, the presentation was a little bit messy as the arrows intersected a lot and caused confusion occasionally. However, i did like that hovering over the icons would show you which trait was directly linked to it. This provided some clarity as to which factors I was impacting.",5,0,0,0,1,1,1,1,0,0,1,0,0,0.7863659690295874,27.868733333333335,-0.10623033257052135
Exp,31.48271666666667,2,5,I found it confusing what I could and coulnd't clicke and how some of them weren't linked to certain goals,9,1,1,1,1,1,1,1,1,0,0,0,1,-0.503765698909579,9.032466666666666,-0.49223801774780707
Ctr,0.6632333333333332,5,6,"At first I did not have a strategy and I was a bit confused about the software. I still feel like it's a bit hard to understand and difficult to achieve a specific goal. I find it very interesting how every thing affects and has an impact on a lot of other things, that I wasn't even aware of.",7,0,1,0,0,1,1,1,0,1,1,1,0,0.7863659690295874,27.637700000000002,0.28021399106227385
Exp,6.1234166666666665,5,5,"i learned a lot from playing the game.. i was especially surprised by things that i had no idea about such as ""insomnia lowers down heart disease"". i didn't really have a strategy and at first, i was confused on what i was supposed to do. but then i got the hang of it and i did pretty well. there were times that were abit frustrating when playing the game because computer beat me to it in some parts which made me feel dumb. but hey, i learn something new everyday. i also liked the design of the game software. the colours were bright and the display of the symbols/images were clear. overall, i had a fun playing the game",12,1,1,1,1,1,1,1,1,1,1,1,1,-0.9338095882226345,26.014466666666667,0.3628910233796966
Exp,4.696183333333334,6,6,Tried to find the root cause but often found that the best solution was the one directly influencing. Education became my go to when selecting solutions most of the time. The presentation was fun and the soundtrack noise was soothing/ enjoyable,8,0,1,1,1,1,1,1,1,0,0,0,1,0.35632207971653196,10.1815,-0.5896752400940384
Exp,4.760266666666666,5,6,I just mapped out the arrows and looked for the biggest effect,9,1,1,1,1,0,1,1,1,1,0,1,0,2.076497636968754,12.9076,-0.9217431308482533
Ctr,4.098333333333334,3,5,it was difficult to understand at first,6,0,1,0,0,1,1,1,1,0,1,0,0,-1.36385347753569,12.917666666666666,0.13144339527588292
Exp,1.2328333333333332,6,6,analysis of all the arrow colour and directions in relation to the specific task I had at each level,8,1,0,0,1,1,1,1,0,0,1,1,1,0.7863659690295874,14.340900000000001,-0.5676279899292667
Ctr,1.6632500000000001,4,4,I thought it was a very good experience,4,1,0,0,0,1,0,1,1,0,0,0,0,-0.07372180959652354,17.248916666666666,1.0367466825664495
Exp,23.43951666666667,6,7,"I liked the space theme and my task. However, it was hard to tell what I had just done. For example, I'd forget which trait I just intervened on and it was tricky to figure out why I was successful or not in the task. The icons would move and be highlighted which was confusing and often frustrating when I was trying to finish the task.",4,0,0,0,0,0,0,1,0,1,0,1,1,0.35632207971653196,17.719316666666668,1.7003598953863428
Exp,2.0286,3,6,I think some of the effects were memorable however I didn't really have a strategy,6,0,1,0,1,1,1,1,0,0,1,0,0,-0.503765698909579,10.732149999999999,-0.5066858000203804
Exp,13.613833333333332,6,6,Some of the parts of the game I didn't fully understand but I did get it by the end.,10,1,1,0,1,1,1,1,1,0,1,1,1,0.7863659690295874,11.12815,0.9551977123822313
Ctr,4.246616666666666,4,4,I found it interesting but the presentation was slightly confusing and hard see individual components,5,0,0,0,1,1,0,1,0,1,0,1,0,0.7863659690295874,17.247916666666665,0.5726853910868808
Exp,7.6254333333333335,7,6,"I found the effects memorable, and it would be a good way to educate younger children. Initially I was not as confident with finding answers, but after the computer got it right a few times and I could see the response it became easier to work out what kind of thing I should be picking.",7,1,0,1,0,1,0,1,1,1,0,0,1,0.7863659690295874,20.47495,-0.14988515264501673
Exp,5.5984,6,3,"Found it difficult, but it was memorable",7,0,1,0,0,1,1,1,1,0,1,0,1,-0.07372180959652354,11.472833333333334,-0.5858072636136116
Exp,15.519866666666667,4,4,"Was confusing, ended up doing trial and error for most of the game",5,1,0,1,1,0,0,1,0,0,0,1,0,-2.6539851454748566,13.418766666666667,-1.0148910254594987
Exp,22.3173,6,6,"It felt a bit simplistic and obvious what is expected of you. I also found it a bit visually confusing, not always being able to see what the arrows were pointing at. Having to watch the effects spread through the network after each intervention got a bit annoying.",10,1,0,1,0,1,1,1,1,1,1,1,1,1.216409858342643,17.833166666666667,-0.2940511898174583
Ctr,0.44925,6,6,I mainly focused on the aspects that most related to my life such as education to see if I follower the patterns of the health effects such as coffee and sleep which was really interesting,5,1,1,0,0,1,0,1,1,0,0,0,0,-0.503765698909579,19.717716666666664,1.0503268790380766
Exp,29.29478333333333,6,6,"Was interesting, harder than I thought",8,0,1,1,1,1,1,1,0,1,0,1,0,0.35632207971653196,16.257316666666664,-0.8662219128931418
Ctr,14.529633333333333,7,6,I actually really enjoyed using the software as I found that I wasn only focusing on the task at hand and my mind was not overthinking or wandering as usual.,10,1,1,0,0,1,1,1,1,1,1,1,1,-0.07372180959652354,16.10715,0.6657958792454972
Ctr,0.36661666666666665,7,7,"I intervened more with the negative traits which had thick arrows to other traits, as that showed that there was a stronger relationship between those two traits. I found it somewhat surprising in some occasions when i Intervened and the effect was so widespread amongst so many different traits/behaviours. I thought that the presentation was clear and effective. I enjoyed seeing all the domino effects that intervening with a singular trait created across multiple different traits.",8,1,0,0,0,1,1,1,1,1,1,1,0,1.216409858342643,17.50251666666667,1.0785092590093175
Exp,25.034049999999997,5,6,I followed the paths logically and learnt from the computer's answers,9,1,1,1,0,1,1,1,1,0,0,1,1,1.6464537476556984,14.52945,0.7377384770411687
Exp,14.858233333333335,6,6,"I couldn't rechoose another option to intervene with if I had changed my mind, and when some objectives were to lower a specific trait, intervening raised them.",8,1,1,0,1,1,1,1,0,0,1,0,1,0.35632207971653196,28.354233333333333,1.4862819871783897
Ctr,0.27588333333333337,6,6,I think it shows a clear representation of how the mind and body are linked and how tackling mental health can affect physical symptoms and vice versa.,7,0,0,0,0,1,1,1,1,0,1,1,1,-2.6539851454748566,15.888733333333334,0.3628910233796966
Ctr,0.6007166666666667,5,5,it was kind of confusing,8,0,1,0,0,1,1,1,1,1,1,0,1,-1.36385347753569,20.82565,0.10120409261684671
Ctr,0.38204999999999995,4,4,i just tried to move things arround and see how other elements were affected,3,1,0,0,0,1,0,1,0,0,0,0,0,0.35632207971653196,14.283466666666667,-0.9683195849089621
Ctr,1.0165333333333333,5,5,i thought it was very well thought out and i found it enjoyable and visually pleasing,3,0,1,0,0,0,0,1,0,0,1,0,0,-1.36385347753569,7.74095,-1.0164938417771403
Ctr,0.42336666666666667,5,6,"Very explorative, just testing out the result of different interventions without particular strategy",4,0,0,0,0,1,1,1,0,0,0,0,1,-0.503765698909579,21.4957,-0.8295576543129561
Exp,17.432816666666668,6,7,I thought it was a fun strategic game that introduced me to different ways to promoting good traits and diminishing bad traits that one may encounter in daily life.,8,0,1,1,1,0,1,1,1,1,0,0,1,-0.07372180959652354,16.09715,-0.960744929018473
Exp,4.656366666666667,3,3,i found the layout very confusing but this could be because im not used to playing games at all,7,0,1,1,0,1,0,1,1,0,1,1,0,-0.503765698909579,9.244433333333335,-0.6781548147589694
Exp,35.8128,7,2,"I had to play the game for a while until I completely understood what the arrows did the the effect of interventions, for example, for bad things the intervention would affect the other things in an opposite way to the arrow colours. If an arrow would reduce something, doing an intervention on a negative variable, would increase that thing.",10,0,1,1,1,1,1,1,1,1,1,0,1,0.7863659690295874,16.95553333333333,0.8839446678526701
Ctr,0.44406666666666667,5,6,I focussed on the educational aspect and health as they seemed to have several positive effects. I enjoyed the visuals of the presentation although found the arrows a little confusing and when i moved any of the bubbles it would make the whole thing look like a mess.,6,1,0,0,0,1,0,1,1,0,1,0,1,-0.07372180959652354,12.219233333333333,-0.032803697239205655
Exp,1.2353999999999998,6,6,I didn't really have a strategy and it took me a while to get the hang of it,8,0,1,1,0,1,1,1,0,1,1,1,0,-0.9338095882226345,15.4622,-1.2677319361527561
Ctr,0.35568333333333335,4,4,"It was very confusing, I didn't know what to expect and instructions were unclear. I think this software could be very helpful to see a chain of effects as a result of certain behaviours. I did not have a strategy as I didn't know what the aim was or what I was trying to achieve.",0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07372180959652354,28.40823333333333,-0.13324909247303626
Exp,2.48165,5,6,"I found it quite confusing, when the computer beat me in a task it was not really explained why. However, I developed a sort-of strategy of trying to find the thickest lines or correlation between traits and work with those, or look at traits that had another linkage in common. The presentation was confusing, but I think that was the point.",9,0,1,1,1,1,1,1,1,1,1,0,0,1.216409858342643,23.32055,0.02984951513886395
Exp,6.4127,5,6,"Thinking logically helped me the most, and after a while you tend to start memorising what affects what which makes it easier",9,0,1,1,1,1,1,1,1,0,0,1,1,1.216409858342643,9.26965,0.33160594010153416
Ctr,0.37965,6,6,It was interesting to look at the interactions between a range of different things which effect day to day life,7,1,0,0,0,0,1,1,0,1,1,1,1,0.7863659690295874,23.436249999999998,0.6050346283196382
Ctr,0.81015,5,3,I did not have a strategy.,7,0,1,1,0,1,1,1,1,0,1,0,0,-1.36385347753569,10.7093,-1.1704541706296014
Ctr,0.18001666666666666,5,5,really enjoyed it,10,1,1,0,1,1,0,1,1,1,1,1,1,-1.7938973668487455,9.567450000000001,-1.2568310286336524
Ctr,0.5505,4,5,It was quite confusing but was interesting layout e.g. not just words on a screen,4,1,1,0,0,1,0,1,0,0,0,0,0,-1.36385347753569,19.252966666666666,0.18655559782357325
Ctr,6.139083333333334,7,7,It was very interesting to see how one thing can affect many others. We are usually not aware of all the consequences of an action and this software makes you really understand this,7,0,0,0,0,1,1,1,1,1,1,0,1,-0.9338095882226345,18.662750000000003,1.0819669538303258
Exp,4.9314,6,6,The software was really intriguing and an interesting way of approaching mental and physical health. It was difficult to see some of the arrows as were small or hidden by other arrows.,9,1,1,1,0,0,1,1,1,1,0,1,1,0.7863659690295874,16.801116666666665,-1.2183997826553896
Ctr,7.2851333333333335,3,5,"The rapid change of arrows felt somewhat overwhelming when I would make certain interventions, which made it difficult to follow at times.",6,1,0,1,0,1,1,1,1,0,0,0,0,-1.36385347753569,27.811433333333337,0.9087281596898773
Exp,48.027,7,6,"I really enjoyed the software, especially the layout showing how interlinked all the various traits are and the multitude of effects each intervention can have.",9,0,1,1,1,1,1,1,0,0,1,1,1,0.7863659690295874,14.423233333333334,0.7559988908205022
Ctr,9.227566666666666,4,3,I think the effects are not quite memorable because the animation of how things interact is too quick and lacks explanation so I did not quite catch up with it.,8,1,1,1,1,1,0,1,1,0,1,0,0,1.6464537476556984,30.704633333333334,1.3698087563587948
Ctr,0.8636,7,6,Increasing education and exercise in order to promote healthy sleeping scheduled and to keep bmi and heart illness down.,1,0,0,0,0,0,0,0,0,0,0,0,1,-1.36385347753569,8.765566666666667,-0.48810152327701484
Exp,2.0206500000000003,6,6,"initially I did not have a strategy, but as the game processed I started producing patterns for the same issues. at the start the software was confusing, I didn't grasp the concept especially once upgraded to making two interventions but as I was exposed to it more, I got the hang of it. it was fun as it was highly interactive and engaging",9,1,1,1,0,1,0,1,1,1,1,0,1,-0.503765698909579,17.274433333333334,0.06037919108088423
Ctr,0.16743333333333332,5,6,The visual of the software made it clear how these aspects of life are intertwined even more than we tend to comprehend. One change would set off multiple others and drastically alter the system.,8,0,0,0,1,1,1,1,1,1,1,0,1,1.216409858342643,10.3775,-0.026445080950567825
Exp,12.56145,2,2,"I didn't like the game and I don't feel like I learned much, the whole thing was a bit confusing for me and I was at some point only looking at arrows and how they should work instead of thinking about the actual effect and learning from the game",2,0,0,0,0,0,0,1,1,0,0,0,0,0.7863659690295874,14.107850000000001,-0.0352740942515566
Exp,6.677449999999999,6,6,Enjoyed finding how to reduce/increase certain traits although I didn't have a proper strategy apart from trial and error. I clicked the wrong button once which prevented me from achieving what I wanted.,8,1,1,1,0,1,1,1,0,0,0,1,1,1.6464537476556984,14.019,0.526263786021071
Ctr,0.6029333333333333,3,3,"At first I found it a little confusing to work and didn't really understand the aims behind it. However, once I started seeing how the relationships could change through modifying certain things, I felt there was more purpose to what I was doing and understood the relationships far better.",4,1,0,0,0,0,1,1,0,0,0,1,0,-0.503765698909579,13.822333333333335,0.5984282053920977
Ctr,0.5570833333333333,6,5,I don't think I fully understood how to use it. It was interesting to see how different mental health outcomes are influenced by health choices.,5,0,1,0,0,1,0,0,1,0,1,0,1,-1.36385347753569,21.014799999999997,-0.37234033416523626
Exp,18.56978333333333,7,6,"started to memorize what influenced what and used that in future strategies, very engaging",10,1,0,1,1,1,1,1,1,1,0,1,1,1.216409858342643,14.970483333333334,-0.3685346066301999
Ctr,4.8364,5,2,Bit confusing,2,0,1,0,0,0,0,1,0,0,0,0,0,-0.9338095882226345,24.274033333333332,-0.14317395638521085
Exp,11.032116666666667,2,2,I found the system confusing but was useful to have the computer there. I wasn't able to click education,1,0,1,0,0,0,0,0,0,0,0,0,0,-2.223941256161801,7.127383333333333,-1.0367297231439034
Exp,53.63998333333333,1,1,"I did not understand how the game worked, so by the end I was just playing it randomly. The game itself looked very interesting but the instructions need to be clearer.",5,0,1,0,1,0,0,1,1,0,0,0,1,1.216409858342643,12.968383333333332,0.6520493032083191
Ctr,2.3845,5,5,No strategy; very nice graphics,6,0,0,0,0,1,1,1,1,1,1,0,0,0.7863659690295874,22.262983333333334,1.1584983084034948
Exp,11.786933333333334,7,6,The tutorial got me to be familiar with the task and increased my accuracy in later levels.,9,1,1,1,1,1,1,1,0,1,0,0,1,1.216409858342643,14.202683333333335,-0.8293955797028955
Exp,28.492966666666668,7,5,I did have a strategy to use the arrows to guide me. It was frustrating because I didn't understand why certain policies would have certain effects. Loneliness on wellbeing seemed odd. Presentation was alright.,7,1,1,1,0,1,0,1,1,0,0,0,1,-0.9338095882226345,17.305,0.5871511145367374
Exp,20.315116666666665,6,6,Engaging. It actually interested me when different interventions effect different traits etc,7,1,0,0,1,1,1,1,1,0,1,0,0,-0.9338095882226345,12.88475,0.5796740706498282
Ctr,7.641933333333333,4,6,Confusing. What was the task?,2,0,0,0,0,0,0,1,1,0,0,0,0,0.7863659690295874,12.99195,-0.8080024756285284
Exp,6.939283333333334,3,6,Tried to follow the instructions as best as I could but got confused a few times,5,1,0,0,0,1,1,1,1,0,0,0,0,-0.503765698909579,49.063183333333335,0.058994376746817394
